dataset,model,mode,seed,scope,axis,selected_count,axis_selected_count,axis_selected_fraction,selected_true_mean,axis_true_mean,feedback_deficit,conflict_score,conflict_rank
BEAR B70,rf_ucb,clean,6,seed,PrinterNozzle=1,200,7,0.035,25.46091493855,20.242117362857147,5.218797575692854,0.1826579151492499,5
BEAR B70,rf_ucb,clean,6,seed,PrinterNumber=2,200,7,0.035,25.46091493855,20.242117362857147,5.218797575692854,0.1826579151492499,6
BEAR B70,rf_ucb,clean,6,seed,DecisionPolicy=8,200,184,0.92,25.46091493855,25.803225390054347,-0.34231045150434625,0.0,7
BEAR B70,rf_ucb,clean,6,seed,NozzleSize=0.75,200,193,0.965,25.46091493855,25.650197752176165,-0.18928281362616417,0.0,8
BEAR B70,rf_ucb,clean,6,seed,PrinterNozzle=0,200,193,0.965,25.46091493855,25.650197752176165,-0.18928281362616417,0.0,9
BEAR B70,rf_ucb,clean,6,seed,PrinterNumber=1,200,99,0.495,25.46091493855,27.747632734444448,-2.2867177958944467,0.0,10
BEAR B70,rf_ucb,clean,7,seed,PrinterNumber=3,200,73,0.365,23.599985339575,21.995190526849317,1.6047948127256824,0.585750106644874,1
BEAR B70,rf_ucb,clean,7,seed,DecisionPolicy=7,200,22,0.11,23.599985339575,19.78424605340909,3.815739286165911,0.4197313214782502,2
BEAR B70,rf_ucb,clean,7,seed,PrinterNumber=4,200,30,0.15,23.599985339575,21.125472715999997,2.474512623575002,0.37117689353625033,3
BEAR B70,rf_ucb,clean,7,seed,NozzleSize=0.5,200,12,0.06,23.599985339575,18.229439790416667,5.370545549158333,0.32223273294949994,4
BEAR B70,rf_ucb,clean,7,seed,PrinterNozzle=1,200,12,0.06,23.599985339575,18.229439790416667,5.370545549158333,0.32223273294949994,5
BEAR B70,rf_ucb,clean,7,seed,PrinterNumber=2,200,12,0.06,23.599985339575,18.229439790416667,5.370545549158333,0.32223273294949994,6
BEAR B70,rf_ucb,clean,7,seed,DecisionPolicy=8,200,178,0.89,23.599985339575,24.07159356595505,-0.4716082263800523,0.0,7
BEAR B70,rf_ucb,clean,7,seed,NozzleSize=0.75,200,188,0.94,23.599985339575,23.94278611930851,-0.342800779733512,0.0,8
BEAR B70,rf_ucb,clean,7,seed,PrinterNozzle=0,200,188,0.94,23.599985339575,23.94278611930851,-0.342800779733512,0.0,9
BEAR B70,rf_ucb,clean,7,seed,PrinterNumber=1,200,85,0.425,23.599985339575,26.60977294694118,-3.0097876073661816,0.0,10
BEAR B70,rf_ucb,clean,8,seed,PrinterNumber=3,200,79,0.395,23.24174897295,21.172198610632915,2.0695503623170843,0.8174723931152483,1
BEAR B70,rf_ucb,clean,8,seed,DecisionPolicy=7,200,21,0.105,23.24174897295,19.80008468595238,3.441664286997618,0.36137475013474984,2
BEAR B70,rf_ucb,clean,8,seed,PrinterNumber=4,200,29,0.145,23.24174897295,21.057408263620687,2.1843407093293123,0.31672940285275025,3
BEAR B70,rf_ucb,clean,8,seed,NozzleSize=0.5,200,11,0.055,23.24174897295,18.586683883181816,4.655065089768183,0.25602857993725003,4
BEAR B70,rf_ucb,clean,8,seed,PrinterNozzle=1,200,11,0.055,23.24174897295,18.586683883181816,4.655065089768183,0.25602857993725003,5
BEAR B70,rf_ucb,clean,8,seed,PrinterNumber=2,200,11,0.055,23.24174897295,18.586683883181816,4.655065089768183,0.25602857993725003,6
BEAR B70,rf_ucb,clean,8,seed,DecisionPolicy=8,200,175,0.875,23.24174897295,23.503720636200004,-0.2619716632500051,0.0,7
BEAR B70,rf_ucb,clean,8,seed,NozzleSize=0.75,200,189,0.945,23.24174897295,23.512678687169316,-0.2709297142193172,0.0,8
BEAR B70,rf_ucb,clean,8,seed,PrinterNozzle=0,200,189,0.945,23.24174897295,23.512678687169316,-0.2709297142193172,0.0,9
BEAR B70,rf_ucb,clean,8,seed,PrinterNumber=1,200,81,0.405,23.24174897295,26.674416567777776,-3.4326675948277767,0.0,10
BEAR B70,rf_ucb,clean,9,seed,PrinterNumber=3,200,52,0.26,26.579105117950004,23.699723497403852,2.8793816205461518,0.7486392213419995,1
BEAR B70,rf_ucb,clean,9,seed,PrinterNumber=4,200,18,0.09,26.579105117950004,21.44451183027778,5.1345932876722244,0.46211339589050016,2
BEAR B70,rf_ucb,clean,9,seed,DecisionPolicy=7,200,14,0.07,26.579105117950004,22.02009966642857,4.559005451521433,0.3191303816065003,3
BEAR B70,rf_ucb,clean,9,seed,NozzleSize=0.5,200,6,0.03,26.579105117950004,20.691236978333333,5.887868139616671,0.17663604418850012,4
