dataset,run_dir,model,detection_round,threshold,mode,seed,candidate_count,candidate_target_count,candidate_target_prevalence,cumulative_selected_count,cumulative_target_count,cumulative_target_fraction,concentration_ratio,flagged,is_target_mode
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,1,166,40,0.24096385542168675,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,2,166,42,0.25301204819277107,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,3,166,39,0.23493975903614459,16,1,0.0625,0.266025641025641,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,4,166,44,0.26506024096385544,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,5,166,37,0.22289156626506024,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,6,166,39,0.23493975903614459,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,7,166,44,0.26506024096385544,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,8,166,44,0.26506024096385544,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,random_swap,9,166,41,0.2469879518072289,16,0,0.0,0.0,False,False
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,0,166,27,0.16265060240963855,16,9,0.5625,3.4583333333333335,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,1,166,32,0.1927710843373494,16,9,0.5625,2.91796875,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,2,166,34,0.20481927710843373,16,8,0.5,2.4411764705882355,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,3,166,33,0.19879518072289157,16,7,0.4375,2.2007575757575757,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,4,166,37,0.22289156626506024,16,7,0.4375,1.962837837837838,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,5,166,29,0.1746987951807229,16,8,0.5,2.862068965517241,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,6,166,33,0.19879518072289157,16,6,0.375,1.8863636363636362,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,7,166,36,0.21686746987951808,16,8,0.5,2.3055555555555554,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,8,166,36,0.21686746987951808,16,8,0.5,2.3055555555555554,True,True
b31_cameo_rf_ucb,runs/20260530T062752Z_b31-cameo-retrospective-rfucb-10seed,rf_ensemble_ucb,1,0.266025641025641,targeted_swap,9,166,36,0.21686746987951808,16,5,0.3125,1.440972222222222,True,True
